Age,Gender,Student,Game_Preference,Gaming_Frequency,Gaming_Hours_Per_Week,Analytical_Thinking,Logical_Thinking,Creative_Thinking,Problem_Solving_Skills,GPA,Academic_Performance_Impact,Educational_Benefits
18-29,Female,Yes,Puzzle,Several times a week,Less than 7 hours,Agree,Agree,Undecided,Strongly Agree,4,No,"Improved problem-solving, logical thinking"
30-39,Male,Yes,Action,Several times a week,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,1,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Strategy,Daily,More than 21 hours,Strongly Agree,Agree,Disagree,Agree,3,No,"Improved reaction time, teamwork"
18-29,Female,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Action,Several times a week,8 to 14 hours,Strongly Agree,Undecided,Agree,Undecided,3,No,No significant benefits
30-39,Male,Yes,Puzzle,Several times a year,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Enhanced creativity, problem-solving"
30-39,Male,Yes,Puzzle,Daily,Less than 7 hours,Agree,Disagree,Disagree,Strongly Agree,4,No,"Enhanced creativity, problem-solving"
40-49,Female,Yes,Puzzle,Several times a month,Less than 7 hours,Agree,Agree,Agree,Strongly Disagree,5,No,No significant benefits
18-29,Male,Yes,Adventure,Several times a week,8 to 14 hours,Undecided,Agree,Agree,Disagree,4,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Strategy,Several times a week,Less than 7 hours,Agree,Agree,Undecided,Agree,5,Yes,"Improved focus, hand-eye coordination"
18-29,Female,Yes,Action,Several times a week,8 to 14 hours,Agree,Strongly Agree,Strongly Agree,Agree,3,No,"Improved problem-solving, logical thinking"
40-49,Male,Yes,Strategy,Several times a week,Less than 7 hours,Disagree,Agree,Agree,Undecided,4,No,"Improved focus, hand-eye coordination"
30-39,Male,Yes,Strategy,Several times a week,Less than 7 hours,Agree,Strongly Agree,Strongly Agree,Disagree,4,No,No significant benefits
18-29,Female,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Strongly Agree,Agree,4,No,"Improved strategic thinking, decision-making"
18-29,Female,Yes,Action,Several times a year,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,3,No,"Improved planning, analytical skills"
18-29,Prefer not to answer,Yes,Strategy,Daily,8 to 14 hours,Undecided,Undecided,Undecided,Agree,3,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Action,Several times a week,15 to 21 hours,Agree,Agree,Agree,Agree,4,No,"Improved problem-solving, logical thinking"
30-39,Prefer not to answer,Yes,Adventure,Daily,Less than 7 hours,Agree,Strongly Agree,Agree,Agree,4,No,"Improved planning, analytical skills"
18-29,Male,Yes,Adventure,Several times a week,15 to 21 hours,Undecided,Agree,Strongly Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Adventure,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,5,Yes,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Puzzle,Several times a week,Less than 7 hours,Agree,Agree,Agree,Agree,3,Yes,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Puzzle,Daily,More than 21 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Strategy,Several times a week,8 to 14 hours,Undecided,Undecided,Strongly Agree,Strongly Agree,4,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Adventure,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Improved planning, analytical skills"
18-29,Female,Yes,Puzzle,Several times a week,Less than 7 hours,Agree,Agree,Agree,Agree,3,Yes,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Action,Several times a week,Less than 7 hours,Undecided,Agree,Agree,Agree,4,Yes,"Improved problem-solving, logical thinking"
30-39,Male,Yes,Action,Daily,Less than 7 hours,Undecided,Disagree,Agree,Strongly Agree,3,Yes,"Improved strategic thinking, decision-making"
30-39,Female,Yes,Strategy,Daily,Less than 7 hours,Strongly Agree,Agree,Agree,Strongly Agree,4,Yes,No significant benefits
18-29,Female,Yes,Puzzle,Daily,Less than 7 hours,Strongly Disagree,Agree,Undecided,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Action,Daily,8 to 14 hours,Undecided,Disagree,Agree,Strongly Agree,4,Yes,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Strategy,Several times a week,Less than 7 hours,Agree,Agree,Disagree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,Yes,"Improved reaction time, teamwork"
18-29,Male,Yes,Action,Daily,8 to 14 hours,Agree,Agree,Agree,Agree,1,No,"Improved reaction time, teamwork"
30-39,Prefer not to answer,Yes,Puzzle,Several times a month,Less than 7 hours,Undecided,Strongly Agree,Agree,Agree,4,No,"Improved planning, analytical skills"
18-29,Female,Yes,Puzzle,Daily,8 to 14 hours,Agree,Agree,Strongly Agree,Agree,2,No,"Enhanced analytical thinking, memory"
30-39,Female,Yes,Puzzle,Several times a week,Less than 7 hours,Agree,Agree,Strongly Agree,Agree,3,No,"Enhanced analytical thinking, memory"
18-29,Female,Yes,Strategy,Daily,Less than 7 hours,Undecided,Agree,Disagree,Strongly Agree,3,Yes,"Enhanced analytical thinking, memory"
40-49,Male,Yes,Action,Several times a week,More than 21 hours,Agree,Agree,Agree,Disagree,5,Yes,"Improved reaction time, teamwork"
30-39,Male,Yes,Action,Daily,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,3,No,No significant benefits
30-39,Male,Yes,Strategy,Several times a week,Less than 7 hours,Disagree,Agree,Agree,Strongly Agree,5,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Action,Several times a week,8 to 14 hours,Undecided,Disagree,Undecided,Agree,2,No,"Improved reaction time, teamwork"
30-39,Male,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Undecided,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Adventure,Several times a week,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Improved planning, analytical skills"
18-29,Male,Yes,Action,Daily,8 to 14 hours,Agree,Agree,Agree,Agree,3,No,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Adventure,Daily,15 to 21 hours,Agree,Strongly Agree,Agree,Undecided,4,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Strategy,Daily,8 to 14 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Strategy,Daily,Less than 7 hours,Strongly Agree,Agree,Undecided,Agree,4,No,No significant benefits
18-29,Male,Yes,Puzzle,Several times a week,More than 21 hours,Strongly Agree,Agree,Strongly Agree,Agree,4,Yes,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,3,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Action,Daily,8 to 14 hours,Agree,Agree,Agree,Agree,4,No,No significant benefits
40-49,Prefer not to answer,Yes,Adventure,Daily,Less than 7 hours,Disagree,Strongly Agree,Undecided,Strongly Agree,4,No,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Adventure,Daily,8 to 14 hours,Disagree,Strongly Disagree,Agree,Strongly Agree,3,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Action,Several times a week,15 to 21 hours,Undecided,Agree,Agree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Adventure,Daily,Less than 7 hours,Agree,Agree,Undecided,Undecided,3,No,No significant benefits
18-29,Female,Yes,Action,Several times a month,Less than 7 hours,Undecided,Strongly Agree,Strongly Agree,Undecided,5,No,"Improved reaction time, teamwork"
18-29,Male,Yes,Strategy,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,5,No,"Improved planning, analytical skills"
18-29,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced analytical thinking, memory"
